"feature with direction by activity and by subject" "feature with direction" "activity" "subject" "average of means" "average of standard deviations"
"jerk due to angular acceleration of body z laying 2" "jerk due to angular acceleration of body in direction z" "laying" "2" "-0.0701783020833333" "-0.98803582125"
"jerk due to angular acceleration of body z laying 3" "jerk due to angular acceleration of body in direction z" "laying" "3" "-0.06873387" "-0.983338279516129"
"jerk due to angular acceleration of body z laying 4" "jerk due to angular acceleration of body in direction z" "laying" "4" "-0.0712156288333333" "-0.983965359814815"
"jerk due to angular acceleration of body z laying 5" "jerk due to angular acceleration of body in direction z" "laying" "5" "-0.07083096875" "-0.989679592307692"
"jerk due to angular acceleration of body z laying 6" "jerk due to angular acceleration of body in direction z" "laying" "6" "-0.0717774743859649" "-0.959579071578947"
"jerk due to angular acceleration of body z laying 7" "jerk due to angular acceleration of body in direction z" "laying" "7" "-0.0671901794615385" "-0.988871878269231"
"jerk due to angular acceleration of body z laying 8" "jerk due to angular acceleration of body in direction z" "laying" "8" "-0.0694123150925926" "-0.987601203703704"
"jerk due to angular acceleration of body z laying 9" "jerk due to angular acceleration of body in direction z" "laying" "9" "-0.0569490475" "-0.9770761602"
"jerk due to angular acceleration of body z laying 10" "jerk due to angular acceleration of body in direction z" "laying" "10" "-0.0590744912758621" "-0.983949302758621"
"jerk due to angular acceleration of body z laying 11" "jerk due to angular acceleration of body in direction z" "laying" "11" "-0.0666957489649123" "-0.986549063333333"
"jerk due to angular acceleration of body z laying 12" "jerk due to angular acceleration of body in direction z" "laying" "12" "-0.0678909002816667" "-0.969953929666667"
"jerk due to angular acceleration of body z laying 13" "jerk due to angular acceleration of body in direction z" "laying" "13" "-0.0648770419677419" "-0.989801549193548"
"jerk due to angular acceleration of body z laying 14" "jerk due to angular acceleration of body in direction z" "laying" "14" "-0.0566171868039216" "-0.979711372941176"
"jerk due to angular acceleration of body z laying 15" "jerk due to angular acceleration of body in direction z" "laying" "15" "-0.0624334556236111" "-0.980112732777778"
"jerk due to angular acceleration of body z laying 16" "jerk due to angular acceleration of body in direction z" "laying" "16" "-0.0576790435142857" "-0.994465157714286"
"jerk due to angular acceleration of body z laying 17" "jerk due to angular acceleration of body in direction z" "laying" "17" "-0.0604927046338028" "-0.988221713380282"
"jerk due to angular acceleration of body z laying 18" "jerk due to angular acceleration of body in direction z" "laying" "18" "-0.0593135986615385" "-0.992548101846154"
"jerk due to angular acceleration of body z laying 19" "jerk due to angular acceleration of body in direction z" "laying" "19" "-0.0599161477951807" "-0.986958363975904"
"jerk due to angular acceleration of body z laying 20" "jerk due to angular acceleration of body in direction z" "laying" "20" "-0.0610028293088235" "-0.986670534411765"
"jerk due to angular acceleration of body z laying 21" "jerk due to angular acceleration of body in direction z" "laying" "21" "-0.0601398663555556" "-0.988749495666667"
"jerk due to angular acceleration of body z laying 22" "jerk due to angular acceleration of body in direction z" "laying" "22" "-0.0702723568194445" "-0.978636301805555"
"jerk due to angular acceleration of body z laying 23" "jerk due to angular acceleration of body in direction z" "laying" "23" "-0.0621991626111111" "-0.994908984861111"
"jerk due to angular acceleration of body z laying 24" "jerk due to angular acceleration of body in direction z" "laying" "24" "-0.0624116966805556" "-0.992381595972222"
"jerk due to angular acceleration of body z laying 25" "jerk due to angular acceleration of body in direction z" "laying" "25" "-0.0596922147205479" "-0.974242254520548"
"jerk due to angular acceleration of body z laying 26" "jerk due to angular acceleration of body in direction z" "laying" "26" "-0.0711533355789474" "-0.993759841842105"
"jerk due to angular acceleration of body z laying 27" "jerk due to angular acceleration of body in direction z" "laying" "27" "-0.0642797849864865" "-0.993296720540541"
"jerk due to angular acceleration of body z laying 28" "jerk due to angular acceleration of body in direction z" "laying" "28" "-0.05345019146375" "-0.981418916"
"jerk due to angular acceleration of body z laying 29" "jerk due to angular acceleration of body in direction z" "laying" "29" "-0.0674469666086956" "-0.995380794637681"
"jerk due to angular acceleration of body z laying 30" "jerk due to angular acceleration of body in direction z" "laying" "30" "-0.0595736770285714" "-0.980768874571429"
"jerk due to angular acceleration of body z sitting 1" "jerk due to angular acceleration of body in direction z" "sitting" "1" "-0.046702627" "-0.987935806382979"
"jerk due to angular acceleration of body z sitting 2" "jerk due to angular acceleration of body in direction z" "sitting" "2" "-0.04358509665" "-0.985542325652174"
"jerk due to angular acceleration of body z sitting 3" "jerk due to angular acceleration of body in direction z" "sitting" "3" "-0.0590079966686538" "-0.973751670576923"
"jerk due to angular acceleration of body z sitting 4" "jerk due to angular acceleration of body in direction z" "sitting" "4" "-0.0489964351672" "-0.9688048316"
"jerk due to angular acceleration of body z sitting 5" "jerk due to angular acceleration of body in direction z" "sitting" "5" "-0.0487714733568182" "-0.964878512727273"
"jerk due to angular acceleration of body z sitting 6" "jerk due to angular acceleration of body in direction z" "sitting" "6" "-0.0465504310978182" "-0.958787671272727"
"jerk due to angular acceleration of body z sitting 7" "jerk due to angular acceleration of body in direction z" "sitting" "7" "-0.0454566269166667" "-0.980954665416667"
"jerk due to angular acceleration of body z sitting 8" "jerk due to angular acceleration of body in direction z" "sitting" "8" "-0.0445732240217391" "-0.985241405434783"
"jerk due to angular acceleration of body z sitting 9" "jerk due to angular acceleration of body in direction z" "sitting" "9" "-0.052841489994" "-0.9687388914"
"jerk due to angular acceleration of body z sitting 10" "jerk due to angular acceleration of body in direction z" "sitting" "10" "-0.048941191502963" "-0.990259813148148"
"jerk due to angular acceleration of body z sitting 11" "jerk due to angular acceleration of body in direction z" "sitting" "11" "-0.0505395462396226" "-0.981016044716981"
"jerk due to angular acceleration of body z sitting 12" "jerk due to angular acceleration of body in direction z" "sitting" "12" "-0.0515634091411765" "-0.977138953921569"
"jerk due to angular acceleration of body z sitting 13" "jerk due to angular acceleration of body in direction z" "sitting" "13" "-0.0466121595938776" "-0.989861382040816"
"jerk due to angular acceleration of body z sitting 14" "jerk due to angular acceleration of body in direction z" "sitting" "14" "-0.0520121608148148" "-0.982819138888889"
"jerk due to angular acceleration of body z sitting 15" "jerk due to angular acceleration of body in direction z" "sitting" "15" "-0.0524148341983051" "-0.987937202542373"
"jerk due to angular acceleration of body z sitting 16" "jerk due to angular acceleration of body in direction z" "sitting" "16" "-0.0588371273536232" "-0.988364321449275"
"jerk due to angular acceleration of body z sitting 17" "jerk due to angular acceleration of body in direction z" "sitting" "17" "-0.051090324421875" "-0.9938412575"
"jerk due to angular acceleration of body z sitting 18" "jerk due to angular acceleration of body in direction z" "sitting" "18" "-0.0523030404789474" "-0.992814325087719"
"jerk due to angular acceleration of body z sitting 19" "jerk due to angular acceleration of body in direction z" "sitting" "19" "-0.0590801684246575" "-0.98531069"
"jerk due to angular acceleration of body z sitting 20" "jerk due to angular acceleration of body in direction z" "sitting" "20" "-0.0465835149090909" "-0.979742084090909"
"jerk due to angular acceleration of body z sitting 21" "jerk due to angular acceleration of body in direction z" "sitting" "21" "-0.0526409877294118" "-0.987954515294118"
"jerk due to angular acceleration of body z sitting 22" "jerk due to angular acceleration of body in direction z" "sitting" "22" "-0.0517193986693548" "-0.97954410516129"
"jerk due to angular acceleration of body z sitting 23" "jerk due to angular acceleration of body in direction z" "sitting" "23" "-0.0485561086867647" "-0.988130142058824"
"jerk due to angular acceleration of body z sitting 24" "jerk due to angular acceleration of body in direction z" "sitting" "24" "-0.051596655125" "-0.989850160294118"
"jerk due to angular acceleration of body z sitting 25" "jerk due to angular acceleration of body in direction z" "sitting" "25" "-0.0495595643230769" "-0.991491387846154"
"jerk due to angular acceleration of body z sitting 26" "jerk due to angular acceleration of body in direction z" "sitting" "26" "-0.0487627204433077" "-0.991929788974359"
"jerk due to angular acceleration of body z sitting 27" "jerk due to angular acceleration of body in direction z" "sitting" "27" "-0.0503883556285714" "-0.991766787571429"
"jerk due to angular acceleration of body z sitting 28" "jerk due to angular acceleration of body in direction z" "sitting" "28" "-0.0579015362166667" "-0.971001691388889"
"jerk due to angular acceleration of body z sitting 29" "jerk due to angular acceleration of body in direction z" "sitting" "29" "-0.047000897695" "-0.9928337675"
"jerk due to angular acceleration of body z sitting 30" "jerk due to angular acceleration of body in direction z" "sitting" "30" "-0.0488204595806452" "-0.988124495645161"
"jerk due to angular acceleration of body z standing 1" "jerk due to angular acceleration of body in direction z" "standing" "1" "-0.0489505466716981" "-0.992108467169811"
"jerk due to angular acceleration of body z standing 2" "jerk due to angular acceleration of body in direction z" "standing" "2" "-0.0546539479425926" "-0.973610118333333"
"jerk due to angular acceleration of body z standing 3" "jerk due to angular acceleration of body in direction z" "standing" "3" "-0.0416832156688525" "-0.958293011803279"
"jerk due to angular acceleration of body z standing 4" "jerk due to angular acceleration of body in direction z" "standing" "4" "-0.0490753497867857" "-0.957982019464286"
"jerk due to angular acceleration of body z standing 5" "jerk due to angular acceleration of body in direction z" "standing" "5" "-0.0422221341625" "-0.944755343035714"
"jerk due to angular acceleration of body z standing 6" "jerk due to angular acceleration of body in direction z" "standing" "6" "-0.0506432189438596" "-0.962758177192982"
"jerk due to angular acceleration of body z standing 7" "jerk due to angular acceleration of body in direction z" "standing" "7" "-0.0545390015471698" "-0.978166790943396"
"jerk due to angular acceleration of body z standing 8" "jerk due to angular acceleration of body in direction z" "standing" "8" "-0.0478483225666667" "-0.989270900740741"
"jerk due to angular acceleration of body z standing 9" "jerk due to angular acceleration of body in direction z" "standing" "9" "-0.0575743131488889" "-0.969726483555556"
"jerk due to angular acceleration of body z standing 10" "jerk due to angular acceleration of body in direction z" "standing" "10" "-0.0584162547045455" "-0.969051030681818"
"jerk due to angular acceleration of body z standing 11" "jerk due to angular acceleration of body in direction z" "standing" "11" "-0.0524732752340426" "-0.990663218510638"
"jerk due to angular acceleration of body z standing 12" "jerk due to angular acceleration of body in direction z" "standing" "12" "-0.0482863736885246" "-0.973689389672131"
"jerk due to angular acceleration of body z standing 13" "jerk due to angular acceleration of body in direction z" "standing" "13" "-0.053926078122807" "-0.985177042982456"
"jerk due to angular acceleration of body z standing 14" "jerk due to angular acceleration of body in direction z" "standing" "14" "-0.0509036177765" "-0.974687865833333"
"jerk due to angular acceleration of body z standing 15" "jerk due to angular acceleration of body in direction z" "standing" "15" "-0.052278397190566" "-0.981293117924528"
"jerk due to angular acceleration of body z standing 16" "jerk due to angular acceleration of body in direction z" "standing" "16" "-0.0544335294410256" "-0.992698522948718"
"jerk due to angular acceleration of body z standing 17" "jerk due to angular acceleration of body in direction z" "standing" "17" "-0.0546331330897436" "-0.992327099487179"
"jerk due to angular acceleration of body z standing 18" "jerk due to angular acceleration of body in direction z" "standing" "18" "-0.0532384453013699" "-0.986259015753425"
"jerk due to angular acceleration of body z standing 19" "jerk due to angular acceleration of body in direction z" "standing" "19" "-0.0523769867072603" "-0.983453911232877"
"jerk due to angular acceleration of body z standing 20" "jerk due to angular acceleration of body in direction z" "standing" "20" "-0.051815224739726" "-0.948669854794521"
"jerk due to angular acceleration of body z standing 21" "jerk due to angular acceleration of body in direction z" "standing" "21" "-0.0538211740234831" "-0.975427259325843"
"jerk due to angular acceleration of body z standing 22" "jerk due to angular acceleration of body in direction z" "standing" "22" "-0.0513179245555556" "-0.979753572380952"
"jerk due to angular acceleration of body z standing 23" "jerk due to angular acceleration of body in direction z" "standing" "23" "-0.0548226277867647" "-0.984654516470588"
"jerk due to angular acceleration of body z standing 24" "jerk due to angular acceleration of body in direction z" "standing" "24" "-0.0517180379565217" "-0.983276883478261"
"jerk due to angular acceleration of body z standing 25" "jerk due to angular acceleration of body in direction z" "standing" "25" "-0.0556979055540541" "-0.980722294459459"
"jerk due to angular acceleration of body z standing 26" "jerk due to angular acceleration of body in direction z" "standing" "26" "-0.0532541948283784" "-0.985992503243243"
"jerk due to angular acceleration of body z standing 27" "jerk due to angular acceleration of body in direction z" "standing" "27" "-0.051403918985" "-0.9889703575"
"jerk due to angular acceleration of body z standing 28" "jerk due to angular acceleration of body in direction z" "standing" "28" "-0.0525896252375949" "-0.956497163670886"
"jerk due to angular acceleration of body z standing 29" "jerk due to angular acceleration of body in direction z" "standing" "29" "-0.0544926306307692" "-0.990685705384615"
"jerk due to angular acceleration of body z standing 30" "jerk due to angular acceleration of body in direction z" "standing" "30" "-0.0520307176474576" "-0.970845670677966"
"jerk due to angular acceleration of body z walking 1" "jerk due to angular acceleration of body in direction z" "walking" "1" "-0.0461309295021053" "-0.404255452631579"
"jerk due to angular acceleration of body z walking 2" "jerk due to angular acceleration of body in direction z" "walking" "2" "-0.0514939156830508" "-0.435492677288136"
"jerk due to angular acceleration of body z walking 3" "jerk due to angular acceleration of body in direction z" "walking" "3" "-0.0503616100815517" "-0.536664080344828"
"jerk due to angular acceleration of body z walking 4" "jerk due to angular acceleration of body in direction z" "walking" "4" "-0.0551166852766667" "-0.640454132833333"
"jerk due to angular acceleration of body z walking 5" "jerk due to angular acceleration of body in direction z" "walking" "5" "-0.0482679596035714" "-0.157682543983929"
"jerk due to angular acceleration of body z walking 6" "jerk due to angular acceleration of body in direction z" "walking" "6" "-0.0539597284210526" "-0.166684422233333"
"jerk due to angular acceleration of body z walking 7" "jerk due to angular acceleration of body in direction z" "walking" "7" "-0.0495713093294737" "-0.458302971403509"
"jerk due to angular acceleration of body z walking 8" "jerk due to angular acceleration of body in direction z" "walking" "8" "-0.0522683965333333" "-0.388446971666667"
"jerk due to angular acceleration of body z walking 9" "jerk due to angular acceleration of body in direction z" "walking" "9" "-0.0633406620592308" "-0.457881494038462"
"jerk due to angular acceleration of body z walking 10" "jerk due to angular acceleration of body in direction z" "walking" "10" "-0.0611262928849057" "-0.329079492641509"
"jerk due to angular acceleration of body z walking 11" "jerk due to angular acceleration of body in direction z" "walking" "11" "-0.0342677451" "-0.551079942542373"
"jerk due to angular acceleration of body z walking 12" "jerk due to angular acceleration of body in direction z" "walking" "12" "-0.0467338151926" "-0.4806421996"
"jerk due to angular acceleration of body z walking 13" "jerk due to angular acceleration of body in direction z" "walking" "13" "-0.0636693233473684" "-0.341765824491228"
"jerk due to angular acceleration of body z walking 14" "jerk due to angular acceleration of body in direction z" "walking" "14" "-0.0388825919508475" "-0.497187687966102"
"jerk due to angular acceleration of body z walking 15" "jerk due to angular acceleration of body in direction z" "walking" "15" "-0.0510976492333333" "-0.591668608148148"
"jerk due to angular acceleration of body z walking 16" "jerk due to angular acceleration of body in direction z" "walking" "16" "-0.0532986670705882" "-0.571264779411765"
"jerk due to angular acceleration of body z walking 17" "jerk due to angular acceleration of body in direction z" "walking" "17" "-0.0513807166754098" "-0.524422887377049"
"jerk due to angular acceleration of body z walking 18" "jerk due to angular acceleration of body in direction z" "walking" "18" "-0.0502631568175" "-0.663259579285714"
"jerk due to angular acceleration of body z walking 19" "jerk due to angular acceleration of body in direction z" "walking" "19" "-0.0603091962115385" "-0.213494065344231"
"jerk due to angular acceleration of body z walking 20" "jerk due to angular acceleration of body in direction z" "walking" "20" "-0.0549273707529412" "-0.22704432732549"
"jerk due to angular acceleration of body z walking 21" "jerk due to angular acceleration of body in direction z" "walking" "21" "-0.0621192104076923" "-0.494927657115385"
"jerk due to angular acceleration of body z walking 22" "jerk due to angular acceleration of body in direction z" "walking" "22" "-0.0569812455608696" "-0.234278150891304"
"jerk due to angular acceleration of body z walking 23" "jerk due to angular acceleration of body in direction z" "walking" "23" "-0.0903002524369492" "-0.374456768135593"
"jerk due to angular acceleration of body z walking 24" "jerk due to angular acceleration of body in direction z" "walking" "24" "-0.0739835516362069" "-0.557968202931034"
"jerk due to angular acceleration of body z walking 25" "jerk due to angular acceleration of body in direction z" "walking" "25" "-0.0512696224225676" "-0.659576163108108"
"jerk due to angular acceleration of body z walking 26" "jerk due to angular acceleration of body in direction z" "walking" "26" "-0.0492240545355932" "-0.485543001525424"
"jerk due to angular acceleration of body z walking 27" "jerk due to angular acceleration of body in direction z" "walking" "27" "-0.0650247552701754" "-0.426346962631579"
"jerk due to angular acceleration of body z walking 28" "jerk due to angular acceleration of body in direction z" "walking" "28" "-0.0593552479814815" "-0.440927899259259"
"jerk due to angular acceleration of body z walking 29" "jerk due to angular acceleration of body in direction z" "walking" "29" "-0.0392368986679245" "-0.504130088679245"
"jerk due to angular acceleration of body z walking 30" "jerk due to angular acceleration of body in direction z" "walking" "30" "-0.0446007229941538" "-0.476208796153846"
"jerk due to angular acceleration of body z walkingdownstairs 1" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "1" "-0.0270461061061224" "-0.268761480242857"
"jerk due to angular acceleration of body z walkingdownstairs 2" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "2" "-0.0710229816893617" "-0.218266318606383"
"jerk due to angular acceleration of body z walkingdownstairs 3" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "3" "-0.0416193131122449" "-0.374605412306122"
"jerk due to angular acceleration of body z walkingdownstairs 4" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "4" "-0.0492836435688889" "-0.325780073711111"
"jerk due to angular acceleration of body z walkingdownstairs 5" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "5" "-0.0399656935617021" "-0.0344217467042553"
"jerk due to angular acceleration of body z walkingdownstairs 6" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "6" "-0.0372228650416667" "0.193206498960417"
"jerk due to angular acceleration of body z walkingdownstairs 7" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "7" "-0.0789469342553192" "-0.425200371553192"
"jerk due to angular acceleration of body z walkingdownstairs 8" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "8" "-0.0867903297078947" "-0.1896044435"
"jerk due to angular acceleration of body z walkingdownstairs 9" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "9" "-0.0678080598785714" "-0.417239550952381"
"jerk due to angular acceleration of body z walkingdownstairs 10" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "10" "-0.0720413112078947" "-0.227137389605263"
"jerk due to angular acceleration of body z walkingdownstairs 11" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "11" "-0.0373048405934783" "-0.480559152608696"
"jerk due to angular acceleration of body z walkingdownstairs 12" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "12" "-0.0653239980021739" "-0.365232197456522"
"jerk due to angular acceleration of body z walkingdownstairs 13" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "13" "-0.0512020476" "-0.367089485595745"
"jerk due to angular acceleration of body z walkingdownstairs 14" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "14" "-0.0615978795422222" "0.0913857550044444"
"jerk due to angular acceleration of body z walkingdownstairs 15" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "15" "-0.0339213064857143" "-0.394542240714286"
"jerk due to angular acceleration of body z walkingdownstairs 16" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "16" "-0.0612136932929787" "-0.540633469361702"
"jerk due to angular acceleration of body z walkingdownstairs 17" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "17" "-0.0582518846641304" "-0.542770646521739"
"jerk due to angular acceleration of body z walkingdownstairs 18" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "18" "-0.0570591813909091" "-0.605655411090909"
"jerk due to angular acceleration of body z walkingdownstairs 19" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "19" "-0.0545565563487179" "0.116646170221282"
"jerk due to angular acceleration of body z walkingdownstairs 20" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "20" "-0.061531283" "0.00307854550222222"
"jerk due to angular acceleration of body z walkingdownstairs 21" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "21" "-0.0788436473888889" "-0.428337693333333"
"jerk due to angular acceleration of body z walkingdownstairs 22" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "22" "-0.0481460161016667" "-0.358762129444444"
"jerk due to angular acceleration of body z walkingdownstairs 23" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "23" "-0.0293255016148148" "-0.36786963962963"
"jerk due to angular acceleration of body z walkingdownstairs 24" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "24" "-0.0412055411490909" "-0.478690941272727"
"jerk due to angular acceleration of body z walkingdownstairs 25" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "25" "-0.0642078122381035" "-0.599481997931035"
"jerk due to angular acceleration of body z walkingdownstairs 26" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "26" "-0.05105874094" "-0.3589516378"
"jerk due to angular acceleration of body z walkingdownstairs 27" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "27" "-0.0621043700545455" "-0.307268262272727"
"jerk due to angular acceleration of body z walkingdownstairs 28" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "28" "-0.077617393146087" "-0.336212734130435"
"jerk due to angular acceleration of body z walkingdownstairs 29" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "29" "-0.0359648430270833" "-0.379769406458333"
"jerk due to angular acceleration of body z walkingdownstairs 30" "jerk due to angular acceleration of body in direction z" "walkingdownstairs" "30" "-0.0543595229322581" "-0.498882854032258"
"jerk due to angular acceleration of body z walkingupstairs 1" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "1" "-0.0407125527654717" "-0.606332002264151"
"jerk due to angular acceleration of body z walkingupstairs 2" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "2" "-0.0445157481625" "-0.467595961041667"
"jerk due to angular acceleration of body z walkingupstairs 3" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "3" "-0.0498180874305085" "-0.573433947627119"
"jerk due to angular acceleration of body z walkingupstairs 4" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "4" "-0.0722496260807692" "-0.556236584807692"
"jerk due to angular acceleration of body z walkingupstairs 5" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "5" "-0.0534895401" "-0.282154378489362"
"jerk due to angular acceleration of body z walkingupstairs 6" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "6" "-0.0576800048435294" "-0.170814790834118"
"jerk due to angular acceleration of body z walkingupstairs 7" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "7" "-0.072451747827451" "-0.682184175686275"
"jerk due to angular acceleration of body z walkingupstairs 8" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "8" "-0.0534090382439024" "-0.430366658780488"
"jerk due to angular acceleration of body z walkingupstairs 9" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "9" "-0.0236327911183673" "-0.65711420122449"
"jerk due to angular acceleration of body z walkingupstairs 10" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "10" "-0.036502173787234" "-0.482244799361702"
"jerk due to angular acceleration of body z walkingupstairs 11" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "11" "-0.046076149625" "-0.777173388518518"
"jerk due to angular acceleration of body z walkingupstairs 12" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "12" "-0.0653167291865385" "-0.606412096538462"
"jerk due to angular acceleration of body z walkingupstairs 13" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "13" "-0.0661653916327273" "-0.550880346909091"
"jerk due to angular acceleration of body z walkingupstairs 14" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "14" "-0.0137237620296296" "-0.359816626703704"
"jerk due to angular acceleration of body z walkingupstairs 15" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "15" "-0.0767242496041667" "-0.657907649166667"
"jerk due to angular acceleration of body z walkingupstairs 16" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "16" "-0.035416300054902" "-0.717101021960784"
"jerk due to angular acceleration of body z walkingupstairs 17" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "17" "-0.0223482086545833" "-0.610586202291667"
"jerk due to angular acceleration of body z walkingupstairs 18" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "18" "-0.0692536211396552" "-0.718951757931034"
"jerk due to angular acceleration of body z walkingupstairs 19" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "19" "-0.0533545875525" "-0.3754149830025"
"jerk due to angular acceleration of body z walkingupstairs 20" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "20" "-0.0518985451176471" "-0.253867089670588"
"jerk due to angular acceleration of body z walkingupstairs 21" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "21" "-0.00694066389361702" "-0.564149244893617"
"jerk due to angular acceleration of body z walkingupstairs 22" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "22" "-0.067457054547619" "-0.515697758571429"
"jerk due to angular acceleration of body z walkingupstairs 23" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "23" "-0.0924998531372549" "-0.543765425882353"
"jerk due to angular acceleration of body z walkingupstairs 24" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "24" "-0.0498427228983051" "-0.648975330847458"
"jerk due to angular acceleration of body z walkingupstairs 25" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "25" "-0.0540452217153846" "-0.746268282923077"
"jerk due to angular acceleration of body z walkingupstairs 26" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "26" "-0.0595558392545455" "-0.556390218"
"jerk due to angular acceleration of body z walkingupstairs 27" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "27" "-0.0629013722509804" "-0.676876469411765"
"jerk due to angular acceleration of body z walkingupstairs 28" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "28" "-0.0752610437019608" "-0.603568264117647"
"jerk due to angular acceleration of body z walkingupstairs 29" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "29" "-0.0680938780306122" "-0.558417024081633"
"jerk due to angular acceleration of body z walkingupstairs 30" "jerk due to angular acceleration of body in direction z" "walkingupstairs" "30" "-0.0364157841384615" "-0.665150619230769"
"jerk due to linear acceleration of body x laying 1" "jerk due to linear acceleration of body in direction x" "laying" "1" "0.0810865342" "-0.958482112"
"jerk due to linear acceleration of body x laying 2" "jerk due to linear acceleration of body in direction x" "laying" "2" "0.0825972511666667" "-0.98587216875"
"jerk due to linear acceleration of body x laying 3" "jerk due to linear acceleration of body in direction x" "laying" "3" "0.0769811125806452" "-0.98087931483871"
"jerk due to linear acceleration of body x laying 4" "jerk due to linear acceleration of body in direction x" "laying" "4" "0.0934494217777778" "-0.978302781111111"
"jerk due to linear acceleration of body x laying 5" "jerk due to linear acceleration of body in direction x" "laying" "5" "0.0848164824230769" "-0.983307862115385"
"jerk due to linear acceleration of body x laying 6" "jerk due to linear acceleration of body in direction x" "laying" "6" "0.0963481955263158" "-0.966341054736842"
"jerk due to linear acceleration of body x laying 7" "jerk due to linear acceleration of body in direction x" "laying" "7" "0.0968904018076923" "-0.980977756153846"
"jerk due to linear acceleration of body x laying 8" "jerk due to linear acceleration of body in direction x" "laying" "8" "0.0878326902592593" "-0.973253042222222"
"jerk due to linear acceleration of body x laying 9" "jerk due to linear acceleration of body in direction x" "laying" "9" "0.08807344764" "-0.9647404702"
"jerk due to linear acceleration of body x laying 10" "jerk due to linear acceleration of body in direction x" "laying" "10" "0.073815064487931" "-0.978007466724138"
"jerk due to linear acceleration of body x laying 11" "jerk due to linear acceleration of body in direction x" "laying" "11" "0.0766645337017544" "-0.985259108596491"
"jerk due to linear acceleration of body x laying 12" "jerk due to linear acceleration of body in direction x" "laying" "12" "0.0854295393833333" "-0.969276283333333"
"jerk due to linear acceleration of body x laying 13" "jerk due to linear acceleration of body in direction x" "laying" "13" "0.0767774832096774" "-0.98541995"
"jerk due to linear acceleration of body x laying 14" "jerk due to linear acceleration of body in direction x" "laying" "14" "0.098140384845098" "-0.971473557058824"
"jerk due to linear acceleration of body x laying 15" "jerk due to linear acceleration of body in direction x" "laying" "15" "0.0767515438611111" "-0.981739386805556"
"jerk due to linear acceleration of body x laying 16" "jerk due to linear acceleration of body in direction x" "laying" "16" "0.0783960268571429" "-0.988416723857143"
"jerk due to linear acceleration of body x laying 17" "jerk due to linear acceleration of body in direction x" "laying" "17" "0.077908974656338" "-0.981489017183099"
